run_name,game_name,seed,config,alg,base_game_name,information_policy,activity_policy,undersell_policy,tiebreaking_policy,grace_rounds,clock_speed,value_structure,rule,rho,n_types,deviations,no_error,t,walltime,nash_conv,nash_conv_runtime,rewards,nash_conv_frac,heuristic_conv,heuristic_conv_frac,heuristic_conv_runtime,rewards_0,nc_player_improvements_0,nc_player_improvements_frac_0,hc_player_improvements_0,hc_player_improvements_frac_0,rewards_1,nc_player_improvements_1,nc_player_improvements_frac_1,hc_player_improvements_1,hc_player_improvements_frac_1,rewards_2,nc_player_improvements_2,nc_player_improvements_frac_2,hc_player_improvements_2,hc_player_improvements_frac_2,total_entropy,avg_entropy,avg_mode_probabilities,p0_expected_exposure,p0_exposure_frac,p0_utility,p0_payment,p0_total_entropies,p0_avg_entropies,p0_avg_mode_probabilities,p1_expected_exposure,p1_exposure_frac,p1_utility,p1_payment,p1_total_entropies,p1_avg_entropies,p1_avg_mode_probabilities,p2_expected_exposure,p2_exposure_frac,p2_utility,p2_payment,p2_total_entropies,p2_avg_entropies,p2_avg_mode_probabilities,exposure_frac,total_welfare,total_revenue,auction_lengths,num_lotteries,p_lottery,unsold_activity,unsold_licenses,common_allocations,unsold
feb8_3p_5supply_feb8_3p_5supply_1_base_dev1000_rho1_t3_tie_break-feb10_ppo_bestppo_4-101,feb8_3p_5supply/feb8_3p_5supply_1_base_dev1000_rho1_t3_tie_break.json,101,feb10_ppo_bestppo_4,PPO,feb8_3p_5supply_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.2,quasi_linear,tie_break,1.0,3,1000,True,3309568,28807.24516892433,,300.000182390213,"[9.343042713455292, 10.151777883612809, 10.631287037920224]",,,,300.0002028942108,9.343042713455292,,,,,10.151777883612809,,,,,10.631287037920224,,,,,0.0,0.0,1.0,0.0,0.0,9.343042713455292,20.797854283426744,0.0,0.0,1.0,-2.3246687295716115,0.015612489991993595,10.151777883612809,20.861120896717377,0.0,0.0,1.0,0.0,0.0,10.631287037920224,21.570331465172142,0.0,0.0,1.0,0.015612489991993595,93.35541428030456,63.229306645316235,3.3188550840672537,1.0168134507606086,1.0,1.5543122344752192e-15,2.220446049250313e-16,"[((0, 2), 6503), ((1, 1), 2503), ((1, 0), 510), ((0, 3), 476)]",[0.00000000e+00 2.22044605e-16]
feb8_3p_5supply_feb8_3p_5supply_1_base_dev1000_rho1_t3_tie_break-feb10_ppo_bestppo_4-102,feb8_3p_5supply/feb8_3p_5supply_1_base_dev1000_rho1_t3_tie_break.json,102,feb10_ppo_bestppo_4,PPO,feb8_3p_5supply_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.2,quasi_linear,tie_break,1.0,3,1000,True,3484672,28807.70198893547,12.390205272350101,3547.98717546463,"[9.320076645471332, 10.12491034309831, 10.853970457051137]",0.40893173616905765,,,300.0079138278961,9.320076645471332,0.0,0.0,,,10.12491034309831,9.558269066957248,0.9440349339461247,,,10.853970457051137,2.8319362053928536,0.2609124666958278,,,0.0,0.0,1.0,0.0,0.0,9.320076645471332,20.750359179589797,0.0,0.0,1.0,-2.3246687295716115,0.017508754377188594,10.12491034309831,20.85745272636318,0.0,0.0,1.0,0.0,0.0,10.853970457051137,21.364394197098548,0.0,0.0,1.0,0.017508754377188594,93.27116354867229,62.97220610305151,3.2339169584792398,1.0483241620810406,1.0,1.5543122344752192e-15,2.220446049250313e-16,"[((0, 2), 6625), ((1, 1), 2386), ((1, 0), 505), ((0, 3), 479)]",[0.00000000e+00 2.22044605e-16]
feb8_3p_5supply_feb8_3p_5supply_1_base_dev1000_rho1_t3_tie_break-feb10_ppo_bestppo_4-103,feb8_3p_5supply/feb8_3p_5supply_1_base_dev1000_rho1_t3_tie_break.json,103,feb10_ppo_bestppo_4,PPO,feb8_3p_5supply_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.2,quasi_linear,tie_break,1.0,3,1000,True,3520512,28800.282828092575,31.851772751559082,22.55955672264099,"[9.319190704882855, 10.12491034309831, 10.853970457051137]",1.051280532698879,,,300.0013954639435,9.319190704882855,12.421533167706539,1.3328982699321938,,,10.12491034309831,5.300479180138396,0.5235087522282595,,,10.853970457051137,14.129760403714146,1.3018056811215049,,,0.0,0.0,1.0,0.0,0.0,9.319190704882855,20.750359179589797,0.0,0.0,1.0,-2.3246687295716115,0.017508754377188594,10.12491034309831,20.85745272636318,0.0,0.0,1.0,0.0,0.0,10.853970457051137,21.364394197098548,0.0,0.0,1.0,0.017508754377188594,93.27027760808383,62.97220610305151,3.2339169584792398,1.0483241620810406,1.0,1.5543122344752192e-15,2.220446049250313e-16,"[((0, 2), 6625), ((1, 1), 2386), ((1, 0), 505), ((0, 3), 479)]",[0.00000000e+00 2.22044605e-16]
feb8_3p_5supply_feb8_3p_5supply_1_base_dev1000_rho1_t3_tie_break-feb10_ppo_bestppo_4-104,feb8_3p_5supply/feb8_3p_5supply_1_base_dev1000_rho1_t3_tie_break.json,104,feb10_ppo_bestppo_4,PPO,feb8_3p_5supply_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.2,quasi_linear,tie_break,1.0,3,1000,True,3372032,28805.609037399292,18.8487397996038,232.79879760742188,"[9.319190704882855, 10.12491034309831, 10.853970457051137]",0.622110215710368,,,300.0061135292053,9.319190704882855,7.753929979076615,0.8320389854254071,,,10.12491034309831,6.8246189625190885,0.674042409389938,,,10.853970457051137,4.270190858008094,0.39342200855485304,,,0.0,0.0,1.0,0.0,0.0,9.319190704882855,20.750359179589797,0.0,0.0,1.0,-2.3246687295716115,0.017508754377188594,10.12491034309831,20.85745272636318,0.0,0.0,1.0,0.0,0.0,10.853970457051137,21.364394197098548,0.0,0.0,1.0,0.017508754377188594,93.27027760808383,62.97220610305151,3.2339169584792398,1.0483241620810406,1.0,1.5543122344752192e-15,2.220446049250313e-16,"[((0, 2), 6625), ((1, 1), 2386), ((1, 0), 505), ((0, 3), 479)]",[0.00000000e+00 2.22044605e-16]
feb8_3p_5supply_feb8_3p_5supply_2_base_dev1000_rho1_t3-feb10_ppo_bestppo_4-100,feb8_3p_5supply/feb8_3p_5supply_2_base_dev1000_rho1_t3.json,100,feb10_ppo_bestppo_4,PPO,feb8_3p_5supply_2,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.2,quasi_linear,base,1.0,3,1000,True,3510272,28803.380598783493,18.93662426630736,51.67811369895935,"[12.096851242937642, 9.274742754835382, 10.055592979434891]",0.6025554969345762,0.0,0.0,274.12378549575806,12.096851242937642,7.707131643994709,0.6371188244952809,0.0,0.0,9.274742754835382,6.598298484779052,0.7114265763693589,0.0,0.0,10.055592979434891,4.631194137533597,0.46055902889118955,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.096851242937642,21.603457037111134,0.0,0.0,1.0,0.0,0.0,9.274742754835382,22.295536660998305,0.0,0.0,1.0,0.0,0.0,10.055592979434891,20.788172451735527,0.0,0.0,1.0,0.0,96.11435312705287,64.68716614984494,3.908472541762529,1.034710413123937,1.0,-2.8171909249863347e-15,-4.198030811863873e-16,"[((1, 1), 4660), ((0, 2), 4081), ((1, 0), 1256)]",[ 2.42861287e-17 -4.44089210e-16]
feb8_3p_5supply_feb8_3p_5supply_2_base_dev1000_rho1_t3-feb10_ppo_bestppo_4-101,feb8_3p_5supply/feb8_3p_5supply_2_base_dev1000_rho1_t3.json,101,feb10_ppo_bestppo_4,PPO,feb8_3p_5supply_2,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.2,quasi_linear,base,1.0,3,1000,True,3644416,28807.38280415535,7.3646469968379735,150.22313451766968,"[11.952558924389583, 10.018881842837471, 10.544163200873864]",0.22649577735240534,0.0,0.0,249.9580442905426,11.952558924389583,3.1815171363680648,0.26617874519539714,0.0,0.0,10.018881842837471,1.0336961746361677,0.10317480441943332,0.0,0.0,10.544163200873864,3.149433685833741,0.2986897704288878,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.952558924389583,22.513119183428405,0.0,0.0,1.0,0.0,0.0,10.018881842837471,21.62281597117983,0.0,0.0,1.0,0.0,0.0,10.544163200873864,20.30621435004504,0.0,0.0,1.0,0.0,96.95775347275419,64.44214950465324,3.807064945461823,0.8883218252776944,0.8883218252776944,1.0547118733938987e-15,1.8041124150158794e-16,"[((0, 2), 5612), ((1, 1), 4381)]",[-4.16333634e-17  2.22044605e-16]
feb8_3p_5supply_feb8_3p_5supply_2_base_dev1000_rho1_t3-feb10_ppo_bestppo_4-102,feb8_3p_5supply/feb8_3p_5supply_2_base_dev1000_rho1_t3.json,102,feb10_ppo_bestppo_4,PPO,feb8_3p_5supply_2,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.2,quasi_linear,base,1.0,3,1000,True,3649536,28807.450917482376,0.0047808474513626464,204.2851643562317,"[12.488772000039097, 9.705091963202813, 10.050877145784698]",0.00014826750927221104,0.0047808474513626464,0.00014826750927221104,152.078364610672,12.488772000039097,0.0047808474513626464,0.00038281165284686754,0.0047808474513626464,0.00038281165284686754,9.705091963202813,0.0,0.0,0.0,0.0,10.050877145784698,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.488772000039097,20.775022515761037,0.0,0.0,1.0,0.0,0.0,9.705091963202813,22.164299009306518,0.0,0.0,1.0,0.0,0.0,10.050877145784698,20.717814470129095,0.0,0.0,1.0,0.0,95.90187710422326,63.65713599519662,3.480936655658961,1.0,1.0,3.774758283725532e-15,4.996003610813204e-16,"[((1, 1), 4442), ((0, 2), 3873), ((1, 0), 1678)]",[5.55111512e-17 4.44089210e-16]
feb8_3p_5supply_feb8_3p_5supply_2_base_dev1000_rho1_t3-feb10_ppo_bestppo_4-103,feb8_3p_5supply/feb8_3p_5supply_2_base_dev1000_rho1_t3.json,103,feb10_ppo_bestppo_4,PPO,feb8_3p_5supply_2,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.2,quasi_linear,base,1.0,3,1000,True,3596288,28802.400648593903,8.290657821255845,770.130576133728,"[11.952558924389583, 10.018881842837471, 10.544163200873864]",0.2549747447222357,,,300.0007839202881,11.952558924389583,0.7082560913537428,0.05925560340961995,,,10.018881842837471,2.7069994404635995,0.27018977595776733,,,10.544163200873864,4.875402289438503,0.46237925158768844,,,0.0,0.0,1.0,0.0,0.0,11.952558924389583,22.513119183428405,0.0,0.0,1.0,0.0,0.0,10.018881842837471,21.62281597117983,0.0,0.0,1.0,0.0,0.0,10.544163200873864,20.30621435004504,0.0,0.0,1.0,0.0,96.95775347275419,64.44214950465324,3.807064945461823,0.8883218252776944,0.8883218252776944,1.0547118733938987e-15,1.8041124150158794e-16,"[((0, 2), 5612), ((1, 1), 4381)]",[-4.16333634e-17  2.22044605e-16]
feb8_3p_5supply_feb8_3p_5supply_2_base_dev1000_rho1_t3-feb10_ppo_bestppo_4-104,feb8_3p_5supply/feb8_3p_5supply_2_base_dev1000_rho1_t3.json,104,feb10_ppo_bestppo_4,PPO,feb8_3p_5supply_2,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.2,quasi_linear,base,1.0,3,1000,True,3500032,28806.095159053802,0.0047808474513626464,228.5541512966156,"[12.488772000039097, 9.705091963202813, 10.050877145784698]",0.00014826750927221104,0.0047808474513626464,0.00014826750927221104,158.375146150589,12.488772000039097,0.0047808474513626464,0.00038281165284686754,0.0047808474513626464,0.00038281165284686754,9.705091963202813,0.0,0.0,0.0,0.0,10.050877145784698,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.488772000039097,20.775022515761037,0.0,0.0,1.0,0.0,0.0,9.705091963202813,22.164299009306518,0.0,0.0,1.0,0.0,0.0,10.050877145784698,20.717814470129095,0.0,0.0,1.0,0.0,95.90187710422326,63.65713599519662,3.480936655658961,1.0,1.0,3.774758283725532e-15,4.996003610813204e-16,"[((1, 1), 4442), ((0, 2), 3873), ((1, 0), 1678)]",[5.55111512e-17 4.44089210e-16]
feb8_3p_5supply_feb8_3p_5supply_2_base_dev1000_rho1_t3_tie_break-feb10_ppo_bestppo_4-100,feb8_3p_5supply/feb8_3p_5supply_2_base_dev1000_rho1_t3_tie_break.json,100,feb10_ppo_bestppo_4,PPO,feb8_3p_5supply_2,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.2,quasi_linear,tie_break,1.0,3,1000,True,3458048,28806.28494167328,,301.91208958625793,"[11.372666915801622, 9.068185607901203, 10.138975373108595]",,,,300.0002760887146,11.372666915801622,,,,,9.068185607901203,,,,,10.138975373108595,,,,,0.0,0.0,1.0,-1.1227459459449474,0.014311449159327461,11.372666915801622,21.288759007205766,0.0,0.0,1.0,0.0,0.0,9.068185607901203,21.052073658927142,0.0,0.0,1.0,0.0,0.0,10.138975373108595,20.739535628502804,0.0,0.0,1.0,0.014311449159327461,93.66019619144713,63.08036829463569,3.2730184147317853,1.022818254603683,1.0,6.661338147750939e-16,5.551115123125783e-17,"[((0, 2), 5824), ((1, 1), 3252), ((1, 0), 460), ((0, 3), 456)]",[5.55111512e-17 0.00000000e+00]
feb8_3p_5supply_feb8_3p_5supply_2_base_dev1000_rho1_t3_tie_break-feb10_ppo_bestppo_4-101,feb8_3p_5supply/feb8_3p_5supply_2_base_dev1000_rho1_t3_tie_break.json,101,feb10_ppo_bestppo_4,PPO,feb8_3p_5supply_2,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.2,quasi_linear,tie_break,1.0,3,1000,True,3487744,28802.04088973999,11.031000588649697,47.61619424819946,"[11.372666915801622, 9.068185607901203, 10.138975373108595]",0.3607280140971594,,,300.00020122528076,11.372666915801622,2.36211234357145,0.20770082875542942,,,9.068185607901203,8.459901802183552,0.9329211121144624,,,10.138975373108595,0.2089864428946946,0.020612185670061418,,,0.0,0.0,1.0,-1.1227459459449474,0.014311449159327461,11.372666915801622,21.288759007205766,0.0,0.0,1.0,0.0,0.0,9.068185607901203,21.052073658927142,0.0,0.0,1.0,0.0,0.0,10.138975373108595,20.739535628502804,0.0,0.0,1.0,0.014311449159327461,93.66019619144713,63.08036829463569,3.2730184147317853,1.022818254603683,1.0,6.661338147750939e-16,5.551115123125783e-17,"[((0, 2), 5824), ((1, 1), 3252), ((1, 0), 460), ((0, 3), 456)]",[5.55111512e-17 0.00000000e+00]
feb8_3p_5supply_feb8_3p_5supply_2_base_dev1000_rho1_t3_tie_break-feb10_ppo_bestppo_4-102,feb8_3p_5supply/feb8_3p_5supply_2_base_dev1000_rho1_t3_tie_break.json,102,feb10_ppo_bestppo_4,PPO,feb8_3p_5supply_2,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.2,quasi_linear,tie_break,1.0,3,1000,True,3362816,28802.09063577652,20.407265406987683,30.44391393661499,"[11.372666915801622, 9.068185607901203, 10.138975373108595]",0.6673440241668451,,,300.0004985332489,11.372666915801622,3.8055871204402916,0.3346257433384127,,,9.068185607901203,9.343101802183554,1.030316560133354,,,10.138975373108595,7.258576484363836,0.7159082863161513,,,0.0,0.0,1.0,-1.1227459459449474,0.014311449159327461,11.372666915801622,21.288759007205766,0.0,0.0,1.0,0.0,0.0,9.068185607901203,21.052073658927142,0.0,0.0,1.0,0.0,0.0,10.138975373108595,20.739535628502804,0.0,0.0,1.0,0.014311449159327461,93.66019619144713,63.08036829463569,3.2730184147317853,1.022818254603683,1.0,6.661338147750939e-16,5.551115123125783e-17,"[((0, 2), 5824), ((1, 1), 3252), ((1, 0), 460), ((0, 3), 456)]",[5.55111512e-17 0.00000000e+00]
feb8_3p_5supply_feb8_3p_5supply_2_base_dev1000_rho1_t3_tie_break-feb10_ppo_bestppo_4-103,feb8_3p_5supply/feb8_3p_5supply_2_base_dev1000_rho1_t3_tie_break.json,103,feb10_ppo_bestppo_4,PPO,feb8_3p_5supply_2,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.2,quasi_linear,tie_break,1.0,3,1000,True,3379200,28801.383449792862,,300.012619972229,"[11.372666915801622, 9.068185607901203, 10.138975373108595]",,,,300.0002908706665,11.372666915801622,,,,,9.068185607901203,,,,,10.138975373108595,,,,,0.0,0.0,1.0,-1.1227459459449474,0.014311449159327461,11.372666915801622,21.288759007205766,0.0,0.0,1.0,0.0,0.0,9.068185607901203,21.052073658927142,0.0,0.0,1.0,0.0,0.0,10.138975373108595,20.739535628502804,0.0,0.0,1.0,0.014311449159327461,93.66019619144713,63.08036829463569,3.2730184147317853,1.022818254603683,1.0,6.661338147750939e-16,5.551115123125783e-17,"[((0, 2), 5824), ((1, 1), 3252), ((1, 0), 460), ((0, 3), 456)]",[5.55111512e-17 0.00000000e+00]
feb8_3p_5supply_feb8_3p_5supply_2_base_dev1000_rho1_t3_tie_break-feb10_ppo_bestppo_4-104,feb8_3p_5supply/feb8_3p_5supply_2_base_dev1000_rho1_t3_tie_break.json,104,feb10_ppo_bestppo_4,PPO,feb8_3p_5supply_2,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.2,quasi_linear,tie_break,1.0,3,1000,True,3344384,28801.755447626114,,300.00010776519775,"[11.372666915801622, 9.068185607901203, 10.138975373108595]",,,,300.00142192840576,11.372666915801622,,,,,9.068185607901203,,,,,10.138975373108595,,,,,0.0,0.0,1.0,-1.1227459459449474,0.014311449159327461,11.372666915801622,21.288759007205766,0.0,0.0,1.0,0.0,0.0,9.068185607901203,21.052073658927142,0.0,0.0,1.0,0.0,0.0,10.138975373108595,20.739535628502804,0.0,0.0,1.0,0.014311449159327461,93.66019619144713,63.08036829463569,3.2730184147317853,1.022818254603683,1.0,6.661338147750939e-16,5.551115123125783e-17,"[((0, 2), 5824), ((1, 1), 3252), ((1, 0), 460), ((0, 3), 456)]",[5.55111512e-17 0.00000000e+00]
feb8_3p_5supply_feb8_3p_5supply_3_base_dev1000_rho1_t3-feb10_ppo_bestppo_4-100,feb8_3p_5supply/feb8_3p_5supply_3_base_dev1000_rho1_t3.json,100,feb10_ppo_bestppo_4,PPO,feb8_3p_5supply_3,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.2,quasi_linear,base,1.0,3,1000,True,3668992,28805.607200860977,,300.0007703304291,"[8.792189876603917, 10.161317996851688, 8.471999346668118]",,,,300.00660252571106,8.792189876603917,,,,,10.161317996851688,,,,,8.471999346668118,,,,,0.0,0.0,1.0,0.0,0.0,8.792189876603917,21.52535574902432,0.0,0.0,1.0,0.0,0.0,10.161317996851688,21.832626838787153,0.0,0.0,1.0,0.0,0.0,8.471999346668118,21.02705493845692,0.0,0.0,1.0,0.0,91.81054474639211,64.38503752626836,3.7886520564395076,1.0450315220654458,0.8933253277294105,3.3306690738754696e-16,2.7755575615628914e-17,"[((0, 2), 6672), ((1, 1), 3321)]",[2.77555756e-17 0.00000000e+00]
feb8_3p_5supply_feb8_3p_5supply_3_base_dev1000_rho1_t3-feb10_ppo_bestppo_4-101,feb8_3p_5supply/feb8_3p_5supply_3_base_dev1000_rho1_t3.json,101,feb10_ppo_bestppo_4,PPO,feb8_3p_5supply_3,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.2,quasi_linear,base,1.0,3,1000,True,3417088,28803.040494680405,14.231925534211545,1212.3316390514374,"[8.400315811995656, 9.492930284492832, 8.81223807695134]",0.5329214569480089,,,300.0021734237671,8.400315811995656,11.410819941867445,1.358379874905749,,,9.492930284492832,2.4641363157649554,0.2595759414551103,,,8.81223807695134,0.3569692765791439,0.04050835593205399,,,0.0,0.0,1.0,0.0,0.0,8.400315811995656,22.09637454981993,0.0,0.0,1.0,0.0,0.0,9.492930284492832,22.213973589435778,0.0,0.0,1.0,0.0,0.0,8.81223807695134,19.903961584633855,0.0,0.0,1.0,0.0,90.9197938973294,64.21430972388954,3.718187274909964,1.055422168867547,0.9260704281712685,8.881784197001252e-16,1.6653345369377348e-16,"[((0, 2), 6320), ((1, 1), 2940), ((0, 3), 736)]",[-5.55111512e-17  2.22044605e-16]
